ID_REF,Gene_Symbol,GSM426640,GSM426641,GSM426642,GSM426643,GSM426644,GSM426645,GSM426646,GSM426647,GSM426648,GSM426649,GSM426650,GSM426651,GSM426652,GSM426653,GSM426654,GSM426655,GSM426656,GSM426657,GSM426658,GSM426659,GSM426660,GSM426661,GSM426662,GSM426663,GSM426664,GSM426665,GSM426666,GSM426667,GSM426668,GSM426669,GSM426670,GSM426671,GSM426672,GSM426673,GSM426674,GSM426675,GSM426676,GSM426677,GSM426678,GSM426679,GSM426680,GSM426681,GSM426682,GSM426683,GSM426684,GSM426685,GSM426686,GSM426687,GSM426688,GSM426689,GSM426690,GSM426691,GSM426692,GSM426693,GSM426694,GSM426695,Mean_RRMS,Mean_SPMS,Delta_abs
ILMN_2094718,TPT1,6928.511,11254.89,8143.91,5553.807,7971.418,5776.524,12527.46,7233.306,9652.404,11679.03,6504.722,10677.53,13267.03,7896.25,7730.314,9373.588,4155.55,7583.708,6553.733,10695.01,5203.63,16081.55,8048.35,4761.047,5083.155,8923.038,5647.845,10389.47,6777.942,8559.56,11000.11,6281.134,4763.722,7482.618,7048.469,7710.264,11022.29,10680.57,12525.88,7692.167,6582.284,11215.73,8589.816,13492.96,5989.271,9757.816,7607.105,13516.14,4508.205,12157.36,11677.43,5647.365,18701.38,6397.527,5018.598,11919.38,8192.238861,9619.994421,1427.75556
ILMN_1687738,LOC650276,1504.589,4393.844,1252.587,970.7124,1742.244,1481.388,5463.643,1612.664,2021.391,3902.33,1994.574,4700.87,4722.815,1877.744,1832.48,1654.795,682.5609,2141.306,1525.36,3044.359,1958.48,8768.692,3288.439,1557.367,1577.289,2687.262,1761.501,3425.798,2616.16,2814.07,7244.464,3210.154,2762.469,1847.718,1780.142,2390.009,2878.015,4155.295,4840.916,1539.942,2004.687,5209.781,1526.191,10094.6,1413.201,4177.701,1986.67,6353.554,1375.4,4814.19,6206.839,1618.922,11243.52,1764.498,863.3065,3853.546,2728.118619,3898.275184,1170.156565
ILMN_1715926,LOC642210,16214.89,18447.25,11583.23,11642.57,16029.69,14794.45,20711.24,13924.49,18050.98,20174.99,14939.17,20018.45,14018.79,8211.368,9884.766,11252.48,7468.054,10177.1,16483.98,12245.82,12795.32,15152.63,12008.68,14107.22,12417.7,14164.58,15294.24,17076.5,13746.79,16095.54,13880.01,13361.73,14943.95,13148.18,12217.39,10865.3,15749.66,17871.04,13543,9994.956,14088.43,12240.05,6119.571,20070.48,10404.42,12130.06,11663.22,14918.34,11259.44,13612.83,12515.06,8594.545,21994.96,10881.61,8326.711,14759.09,14098.59772,12946.23068,1152.367038
ILMN_1686954,RPS10,5765.545,8499.693,4664.398,3593.514,5402.211,5361.928,10234.01,4803.441,5796.613,9596.782,5403.588,9862.931,9264.497,5221.003,6628.234,5331.969,2006.29,6194.799,5948.661,6952.796,4120.982,9633.032,6197.048,3539.108,3972.313,5394.885,3624.836,5830.726,4391.463,6092.384,8097.068,4966.844,5869.211,3935.818,4688.093,4645.091,6823.464,9862.181,7590.204,4565.948,4519.007,10982.71,3584.941,14556.08,4311.134,6560.108,5047.342,8091.324,3047.85,8628.342,8669.833,3426.55,14756.77,4224.16,2490.246,8958.557,5875.883472,6933.589158,1057.705686
ILMN_1737015,RPL39,2781.295,4397.972,1998.98,1358.881,2414.592,1939.68,5129.983,2283.824,2300.206,5358.797,1952.767,5111.767,3844.616,1038.22,1854.168,3187.607,492.4713,2358.342,1787.939,2778.456,1420.682,8226.017,3401.363,1782.718,2112.609,2865.882,1855.007,3447.293,2157.073,3105.674,7183.816,3152,2863.545,1561.256,1931.092,1735.15,3454.958,4987.606,5259.161,1692.617,1791.55,4540.197,1166.637,9236.382,1053.982,2886.377,1734.592,5139.749,1287.88,6770.414,5924.817,2279.779,13156.61,1135.604,623.5442,4412.227,2865.881675,3901.181905,1035.30023
ILMN_1782788,CSDA,4259.175,5320.855,8383.278,7419.427,4213.667,6289.432,5330.046,11380.85,10459.77,7504.851,8561.097,4542.434,11000.78,3182.422,7739.81,6225.511,10918.64,12600.79,7381.423,6189.031,7053.333,9941.861,5603.366,8227.714,6782.599,10708.31,9881.983,5512.377,11976.09,4610.747,9415.226,6198.486,8552.527,7260.71,9606.235,11360.8,6409.924,2562.475,7067.346,9187.813,7695.401,6496.022,12583.32,3968.854,8478.518,9669.251,8583.056,12725.78,9578.777,10119.78,13682.22,14165.43,5326.906,13941.29,5673.211,5519.124,7822.101472,8837.651263,1015.549791
ILMN_1729801,S100A8,6952.51,9491.085,5651.313,7840.077,6709.106,4849.021,8184.719,4993.424,11415.68,6341.052,8703.843,9957.747,8694.491,4377.908,6350.218,12822.83,4040.168,9221.31,3651.166,6917.077,6136.725,25296.57,10539.73,5366.24,7745.98,7992.295,9479.497,9452.343,5949.302,7714.745,15920.98,15672.89,5979.06,6588.201,10534.79,7245.555,11055.69,9356.512,8431.632,5958.512,7247.99,12591.68,11035.95,14090.47,6489.565,10334.29,6542.317,19012.22,5173.052,15407.29,14465.45,3605.228,8282.98,5484.191,5069.178,7223.507,8466.101333,9454.431421,988.3300877
ILMN_1777190,CFD,1635.095,2064.876,1753.957,6951.067,1918.904,9439.729,2498.438,3385.433,5391.625,1911.616,6713.209,1893.933,2429.37,3425.447,3011.436,1964.314,1994.699,4954.429,4555.24,4647.773,6255.323,4633.207,2286.557,1582.314,6206.489,6451.244,1766.103,1802.823,5064.35,6001.057,7016.957,1850.046,2522.146,1405.938,1109.737,5750.986,6528.896,2453.449,3101.227,1569.659,2227.778,2028.049,1793.558,1447.308,1650.128,1664.986,4407.286,2205.862,1860.385,2368.783,1399.638,2947.108,1170.496,1990.868,9516.663,3132.278,3729.051861,2754.322474,974.7293874
ILMN_1782621,RPS12,16039.86,16693.62,14018.79,15406.88,13998.56,17194.58,16663.79,14965.98,12887.33,16291.58,12114.81,15661.58,17029.11,16081.64,11555.97,11685.26,10049.62,15959.48,16746.9,13067.39,11474.22,20958.3,15840.93,13761.2,13133.68,13546.6,17680.49,16758.73,13754.82,14431.09,16550.58,15366.49,16100.11,13183.66,15812.12,15249.53,15666.86,16696.77,15808.64,12193.13,12543.98,17819.53,10614.21,15812.18,13521.03,14777.79,11964.64,15523.42,13065.35,15445.91,13786.13,9820.354,15387.26,13865.05,11510.32,11738.57,14936.53556,13990.66074,945.8748187
ILMN_2207539,RPS17,1664.692,3522.09,1495.867,1013.237,1819.97,1266.416,4480.748,1323.511,1342.495,3592.5,1768.879,3586.062,2498.039,758.0049,1203.816,1861.202,500.7941,1717.643,1216.632,2536.452,1178.967,5337.872,2210.27,1117.311,1166.992,1919.285,1295.3,2549.854,1704.011,2397.624,3922.066,1998.522,1649.534,1477.906,1494.914,1663.546,2113.511,3559.958,3577.808,1465.021,1482.594,3617,969.3369,7631.588,1005.609,2642.996,1377.854,4297.944,863.822,3833.624,4091.791,1380.922,9996.051,946.3203,570.2807,3713.514,2007.028444,2917.054258,910.0258135
