"overlapping.genes","min_smoothed_fdr","meandiff","no.cpgs"
"SAMD11",9.1000155476176e-13,-0.0682105053580693,12
NA,9.1000155476176e-13,-0.0711010936578448,9
"ANKMY1",1.93180212336779e-12,-0.0598504008811029,9
"RPTOR",5.82909931265489e-10,0.100248967459977,5
"PTPRN2",4.22758732622507e-09,0.0643991523527088,8
NA,8.57852655936871e-08,-0.0873149188503344,5
"HLA-DRB5",1.4425639169556e-07,-0.14004516559382,10
"C5orf64, CTD-2170G1.2",2.5640494009535e-07,-0.0631327005618085,6
"CYP2E1, SPRN, AL161645.2",4.12999337346502e-07,-0.112251015852303,11
NA,5.08912798838998e-07,-0.100170353496163,5
"ADAMTS2",8.62807752196026e-07,-0.0653158471970299,3
"PTPRN2",2.06981895807739e-06,0.0999609134991529,3
NA,4.08523252634018e-06,-0.0884860978142765,5
"ANKRD2",4.77127646191446e-06,-0.0593669530816216,5
"S100A1, S100A13, RP1-178F15.5",4.92122165093699e-06,-0.0513888481883366,12
"LRRC14, LRRC24",1.26668592330282e-05,-0.0595179406850526,4
NA,1.56605512419513e-05,0.0569726625916407,5
"C1orf222",2.36965267217042e-05,0.0622285704969022,5
"COX19",2.6435469057703e-05,-0.0850723027667176,5
"CES1P1",7.29485900464727e-05,-0.0544032623890479,7
"ASTN1",0.00022317225640277,-0.0572468407798477,4
NA,0.00031802954543025,-0.0563417786351387,2
NA,0.000438126825463895,-0.0552183317521877,5
"RP11-551L14.1",0.000476862466376284,-0.091038555074511,5
"TTC39C",0.000503585792344636,-0.0515791920724611,4
"SLC1A3",0.000527863302764843,-0.0561033265525103,3
"LINC00422",0.000838000049169302,-0.0824304000819051,7
NA,0.00101922816085066,0.145721268993675,2
"C1orf106",0.00118567206064475,0.0983774727227985,3
"RP11-897M7.1",0.00118973262335837,-0.0768851459215179,2
"DNAJB13",0.00147403801159355,-0.0575845757695583,5
"GPR133, RP11-76C10.2",0.00150262209028506,-0.225859104878859,2
"FMNL2",0.00350819348049782,-0.0597715969575826,2
NA,0.00361582822906361,0.0581624829993084,3
"DENND4C",0.00366759040445955,-0.0689938133987701,2
"RP11-505K9.4",0.003780358464118,0.0727788602154971,8
"EPS8L1",0.00382930443642822,-0.0513670216917433,5
"AC098828.2",0.00544514164887731,-0.0740221957345164,2
"RNF170",0.00592048377658609,-0.0507251843843118,2
"GABRG1",0.00649879993570743,-0.0555668372346843,7
NA,0.0065065811349541,-0.0515579390962248,4
"MAST4",0.00756694410168359,-0.0525320027444631,5
"HLA-A",0.0081896223422314,0.0712842067341923,3
NA,0.00840517305258043,-0.0638132052213002,4
NA,0.00854848039194391,-0.0932100951731616,3
"SH3BP5",0.00889210778768435,0.0532042700943517,4
"TCP10L2",0.00977912289957834,-0.0604334693931034,5
"IRAK2",0.00989694571471173,0.0857528020450542,2
"CDH13",0.0104616591526,0.0670024045629335,5
"DUSP15",0.01059244685268,-0.0514564744570875,3
NA,0.0108792000746472,-0.0546680852781627,3
NA,0.0123784312809488,-0.0678933286108536,2
NA,0.0133374555103118,-0.0652084936829913,2
"AP001468.58, SPATC1L",0.0136543887619986,-0.0970837628667588,8
"LINC00116",0.0136979538753758,0.060080269157998,5
NA,0.0147224150534593,-0.0529455090660801,2
"CTC-550B14.7, GP6, CTC-550B14.6",0.0148893453164942,0.0764974893711353,2
"SLC22A11",0.015856537171277,-0.052037707251646,2
"PAX8-AS1, PAX8",0.0161532403776545,0.0790779526129719,9
"AGAP1",0.0173663261171296,0.0807416109014266,2
"PDE6B",0.0175601357996297,-0.0782110293635168,3
"GIMAP5",0.0176261713089233,-0.0976039564867374,2
"CAPN8",0.021059971411819,-0.0563118454376456,2
"RP11-152K4.2",0.0211343448592625,0.0699800295300798,2
"TRGV9",0.0214351456934279,0.063637207252193,7
"SNX9",0.0228031862509167,-0.0519247244716586,2
"AGAP1",0.0246160159377667,-0.051505109537785,5
"DNAH1",0.0246954330502301,-0.0536512649302181,5
"AACS",0.02532587757322,0.0785888795659072,2
"CLEC4C",0.0274240106312543,0.0590678157493868,3
NA,0.027624294147355,-0.0591507448996201,2
"TUBB8P6",0.0297824243887877,-0.0520978862072786,5
"AGAP1",0.0305953091231106,-0.0640137807536116,2
"RP11-46A10.5, RP11-46A10.4",0.0307351103466125,0.0568541999623985,7
"TP73",0.0311047760561051,-0.0686076680525718,3
NA,0.0316360609541179,-0.0532690860232034,2
NA,0.0337646410330262,-0.0612769104623071,2
"MYO1F",0.0360075941524176,-0.0590688158934084,3
"TIMP2, DDC8",0.0396711717247612,0.132197386150902,2
"CTD-2265M8.2, PLA2G4C",0.0424943671672583,-0.055886043187418,2
"ACTL10, NECAB3",0.0457847930827258,0.0710751951686417,5
NA,0.0476491568574381,0.0708594575203543,4
"MLXIP",0.0480044716901014,-0.0521467352984443,4
"RPTOR",0.0480099300078185,0.0531074091010561,2
NA,0.0495519932336539,0.0537751905681372,4
