"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr1",870791,872737,1947,"*",12,9.1000155476176e-13,1.05767548471498e-10,0.0903091776341781,4.81306726068555e-10,-0.128353670848935,-0.0682105053580693,"SAMD11"
"chr7",127910494,127912372,1879,"*",9,9.1000155476176e-13,8.33306932438751e-08,0.0848128963431323,4.63300476402369e-08,-0.168143754147881,-0.0711010936578448,NA
"chr2",241458886,241460664,1779,"*",9,1.93180212336779e-12,1.05767548471498e-10,0.0903091776341781,4.81306726068555e-10,-0.115302371179623,-0.0598504008811029,"ANKMY1"
"chr17",78682785,78683457,673,"*",5,5.82909931265489e-10,3.76040560390138e-09,0.0848128963431323,6.02988755490157e-08,0.12538453881161,0.100248967459977,"RPTOR"
"chr7",158045980,158047359,1380,"*",8,4.22758732622507e-09,2.57173731722889e-05,0.0906931901596496,2.38049169219609e-06,0.131586012571894,0.0643991523527088,"PTPRN2"
"chr1",39249315,39249664,350,"*",5,8.57852655936871e-08,2.22204990397579e-07,0.0903091776341781,2.38049169219609e-06,-0.121961648554143,-0.0873149188503344,NA
"chr6",32489203,32490444,1242,"*",10,1.4425639169556e-07,5.28943325629805e-05,0.0903091776341781,1.54182986445926e-05,-0.251635809962196,-0.14004516559382,"HLA-DRB5"
"chr5",61028265,61028899,635,"*",6,2.5640494009535e-07,1.65076698412532e-07,0.0903091776341781,2.38049169219609e-06,-0.102954666554452,-0.0631327005618085,"C5orf64, CTD-2170G1.2"
"chr10",135341528,135343280,1753,"*",11,4.12999337346502e-07,1.13398946555825e-09,0.101874885932569,2.18898784734783e-07,-0.15031106882314,-0.112251015852303,"CYP2E1, SPRN, AL161645.2"
"chr2",200468445,200469026,582,"*",5,5.08912798838998e-07,9.05190027227292e-07,0.0903091776341781,7.80194883470405e-06,-0.120294425382295,-0.100170353496163,NA
"chr5",178763293,178763771,479,"*",3,8.62807752196026e-07,5.16679878796557e-05,0.081909766822494,0.000113465481019465,-0.0904700489946956,-0.0653158471970299,"ADAMTS2"
"chr7",158032120,158032496,377,"*",3,2.06981895807739e-06,0.00310545601734588,0.0800944743762926,0.000679535216987393,0.194604394317922,0.0999609134991529,"PTPRN2"
"chr6",27185676,27186199,524,"*",5,4.08523252634018e-06,3.91412676186578e-06,0.0903091776341781,4.16844815237889e-05,-0.103662848790334,-0.0884860978142765,NA
"chr10",99337800,99338240,441,"*",5,4.77127646191446e-06,9.02433609279865e-06,0.090871177471203,6.45631540623109e-05,-0.0802803973614864,-0.0593669530816216,"ANKRD2"
"chr1",153599479,153600972,1494,"*",12,4.92122165093699e-06,0.00295967502089727,0.101874885932569,0.000733895654829954,-0.112660695503366,-0.0513888481883366,"S100A1, S100A13, RP1-178F15.5"
"chr8",145749776,145750363,588,"*",4,1.26668592330282e-05,0.000468326201648435,0.0903091776341781,0.00066943952665534,-0.0937283854510273,-0.0595179406850526,"LRRC14, LRRC24"
