"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr6",33279563,33284384,4822,"*",103,1.81281044457203e-25,6.56718527481799e-15,0.0349990396727839,7.36973643877977e-18,-0.112050085483162,-0.0166780443340408,"TAPBP, ZBTB22"
"chr6",31544694,31549043,4350,"*",36,3.64034563691651e-21,7.64729777960119e-09,0.0338248211684699,7.97623605137969e-11,-0.111847351305297,-0.03490120851587,"TNF, LTB"
"chr7",27181418,27185512,4095,"*",55,4.458281004159e-19,7.08654164525273e-16,0.0381567300451631,8.21433296666959e-15,0.129392803714393,0.0346510514554728,"HOXA-AS3, HOXA3, RP1-170O19.22, HOXA5, HOXA6"
"chr3",46448084,46449636,1553,"*",13,6.38836271806739e-19,1.12802010987875e-11,0.0335965360586551,3.41839074864749e-12,0.108542545414909,0.0417975562125799,"CCRL2, RP11-24F11.2"
"chr20",3065343,3066643,1301,"*",9,1.95569336886829e-17,2.9583644429614e-09,0.0315305956122455,1.39507350820856e-10,0.0912297133739067,0.0544291254010085,"AVP"
"chr13",113655468,113656424,957,"*",7,3.32760997832296e-17,2.9583644429614e-09,0.0312020401606509,1.78686756291922e-09,0.135064921536824,0.0614463562739541,"MCF2L"
"chr14",24640947,24642317,1371,"*",14,3.76863788338144e-17,2.06352267149909e-12,0.0338248211684699,5.45156631419183e-11,0.100362757607818,0.055515598016423,"REC8"
"chr4",154073371,154074737,1367,"*",16,1.87234429687172e-16,9.08516972615347e-07,0.0338248211684699,1.07527502831838e-08,0.11323678185977,0.039654694857277,"TRIM2"
"chr21",38628950,38630728,1779,"*",6,2.31626148836365e-14,0.00880024118759145,0.00549957361880898,0.000612388594551526,0.111922892820881,0.0460587523269398,"DSCR3"
"chr6",152127812,152130332,2521,"*",31,5.86455708497279e-14,3.32179963884921e-10,0.035431423276316,1.48562049838677e-10,0.10414930836805,0.0310490713561584,"ESR1"
"chr19",4769001,4770564,1564,"*",16,1.62887834449428e-13,2.65078343616662e-05,0.0338248211684699,4.74736795741626e-07,0.05707548168237,0.0289999665313169,"MIR7-3HG"
"chr17",64300729,64301327,599,"*",3,5.88445630118021e-13,1.79282291243185e-08,0.0270578755450496,9.26716469973111e-08,-0.157756701153264,-0.136339900931309,"PRKCA"
"chr11",60623144,60624162,1019,"*",9,5.01897323003976e-12,3.83939792006633e-06,0.0338248211684699,3.77106458064113e-07,0.0719913976838713,0.0423655861021612,"PTGDR2"
"chr18",13611370,13611824,455,"*",7,7.74447705443559e-12,5.57971784627403e-10,0.0336421638015695,1.07527502831838e-08,0.096485694528611,0.0709934586083209,"LDLRAD4"
"chr6",33244709,33246488,1780,"*",52,8.69368177816379e-12,2.55637223514247e-05,0.0389561828198695,1.56163181018286e-06,-0.0909840471985723,-0.0161491180703536,"B3GALT4"
"chr2",65216295,65217623,1329,"*",7,1.03366486722306e-11,2.41091493465428e-07,0.0335965360586551,3.1248113027099e-07,0.179383041233918,0.0724564975274812,"SLC1A4"
"chr11",124767455,124768950,1496,"*",11,1.41981991637388e-11,1.82532524588346e-06,0.0348684427516481,1.96636546383541e-07,0.101888558722883,0.0449576473574326,"ROBO4"
"chr17",46666926,46670029,3104,"*",20,1.44157050483798e-11,8.77852301908723e-06,0.0362381157623027,1.79972730774954e-07,0.107578414009839,0.0417019742835514,"HOXB-AS3, HOXB3, HOXB5"
"chr6",106533925,106534382,458,"*",9,2.11528366945667e-11,2.55637223514247e-05,0.0312020401606509,9.07170567976837e-07,0.0737834949330101,0.0278073524408507,"PRDM1"
"chr2",225265371,225266876,1506,"*",13,3.96225238351685e-11,7.64729777960119e-09,0.0347154800184784,5.81987615569786e-08,0.108753024160618,0.0523142687368471,"FAM124B"
"chr11",2554198,2555576,1379,"*",11,4.24742846597359e-11,8.62126330187308e-05,0.0338248211684699,1.46808206469599e-06,0.104808065383869,0.0398372084316437,"KCNQ1"
"chr16",85478580,85479803,1224,"*",9,6.08208338088605e-11,7.78256919622983e-05,0.0338248211684699,1.37218637505865e-06,0.114585804161725,0.0508699177046091,NA
"chr5",76115309,76116535,1227,"*",8,6.17140511345178e-11,4.46160050506517e-07,0.0335965360586551,4.87865708852066e-07,0.0861298444069778,0.051537028019694,"F2RL1"
"chr10",130831384,130832393,1010,"*",5,6.65740590321193e-11,0.000315882971600895,0.0315305956122455,1.53507397525943e-05,0.189121684256632,0.0905519263961473,NA
"chr16",14397074,14397892,819,"*",8,1.07743788976869e-10,2.9583644429614e-09,0.0349990396727839,4.68566442006153e-08,0.0885466979066042,0.0606516620820925,"RP11-65J21.3, MIR193B"
"chr1",204328377,204330069,1693,"*",12,2.48800402505208e-10,4.83703456161779e-07,0.0351901985285539,4.5705249710938e-07,0.0892446381773904,0.0385855342699037,"PLEKHA6"
"chr1",16481635,16483694,2060,"*",12,2.63693025946733e-10,0.00266390149489863,0.035431423276316,7.19614758388004e-05,0.0728736709193248,0.0236391407251908,"RP11-276H7.2, EPHA2"
"chr2",217559020,217561367,2348,"*",14,3.47939817037782e-10,3.38928345602111e-06,0.0370693167330833,1.37218637505865e-06,0.0667804622724088,0.0262995608532593,"AC007563.5, IGFBP5"
"chr17",79880647,79882042,1396,"*",9,4.1513398497735e-10,0.000306465824766578,0.0349990396727839,7.38354358053968e-06,0.112360958611416,0.0412503188882511,"RP11-498C9.12, MAFG"
"chr20",57582121,57583709,1589,"*",27,5.00786742392636e-10,0.000149657993531246,0.0366604522874808,1.42982473960189e-05,0.0666200875931581,0.0200349743436316,"CTSZ"
"chr7",22765750,22767571,1822,"*",9,5.47536828555033e-10,7.64729777960119e-09,0.0338248211684699,1.19902880842496e-07,0.13366002017996,0.0490346743843549,"IL6, AC073072.5"
"chr10",134221503,134222507,1005,"*",8,6.60342682448341e-10,3.04500963955373e-06,0.0338248211684699,2.09955920475143e-06,0.0980400414199172,0.0469595967058066,"PWWP2B"
"chr19",35818807,35820181,1375,"*",7,7.13758628043987e-10,6.11278304266675e-08,0.0338248211684699,3.59249828926314e-07,0.104017104465791,0.0668856186097151,"CD22"
"chr22",36236303,36236760,458,"*",6,1.0811162782877e-09,7.64729777960119e-09,0.0339302462434587,1.79972730774954e-07,0.0905989729687207,0.0715955783366211,"RBFOX2"
"chr12",111618925,111619455,531,"*",8,2.37683527199026e-09,4.08833380232631e-08,0.0339302462434587,4.50500489613736e-07,0.115400131699737,0.055491046517907,"CUX2"
"chr17",71897854,71898904,1051,"*",8,3.21258112433009e-09,0.00433822972777759,0.0315305956122455,9.27996407749889e-05,0.130382864234272,0.0376541065667869,"CTD-2582D11.1"
"chr14",104195181,104196038,858,"*",7,8.83469930381836e-09,0.00394248080186175,0.0315305956122455,0.000199478631425902,0.0524201993262681,0.0135022497812148,"ZFYVE21"
"chr11",843897,844686,790,"*",11,1.00193929568121e-08,0.000121416917326232,0.0362381157623027,6.21345032661692e-05,0.101108276950113,0.0445118177945462,"TSPAN4"
"chr17",38464679,38465510,832,"*",9,1.23851738892672e-08,3.51268633218561e-05,0.0338248211684699,1.42982473960189e-05,0.0810139879720241,0.0491988585467274,"RARA"
"chr1",870791,872737,1947,"*",12,1.26245628455957e-08,1.03689012285396e-07,0.0362381157623027,4.74736795741626e-07,-0.133519387127892,-0.0684493549207346,"SAMD11"
"chr17",6898738,6900356,1619,"*",16,1.3607443079242e-08,6.09312456072743e-07,0.0391207405076626,2.51544445475871e-06,0.125261849476301,0.0630302317520365,"ALOX12, AC027763.2, RP11-589P10.7"
"chr10",73848320,73849626,1307,"*",13,1.50035159115175e-08,0.000311131673439725,0.035431423276316,0.000142674768855696,-0.107998304836724,-0.0429123862970223,"SPOCK2"
"chr6",31322298,31324319,2022,"*",24,1.76141267502531e-08,1.26783065544417e-07,0.0389561828198695,4.74736795741626e-07,-0.153106802119729,-0.0478360863417162,"HLA-B"
"chr5",137474700,137476322,1623,"*",10,1.77599155748917e-08,3.79698738025453e-07,0.0361886725933893,2.52509651470889e-06,0.0867802472728388,0.0391932682801301,"NME5, BRD8"
"chr22",50523686,50524691,1006,"*",13,3.62429869658892e-08,1.76078449948876e-05,0.0353196982463262,2.548502205192e-05,0.0783447558104884,0.0329360058908087,"MLC1"
"chr17",19881077,19882222,1146,"*",8,4.78581814085132e-08,0.0103540512158834,0.0335965360586551,0.000775243084687784,0.123927268812129,0.0291148115620435,"AKAP10"
"chr1",155289623,155291345,1723,"*",13,5.25156951582959e-08,0.00223251065497616,0.0348684427516481,0.000171245015459467,0.0765304519390961,0.0305112703428439,"FDPS, RUSC1, RUSC1-AS1"
"chr16",85295997,85296503,507,"*",4,6.33179612479795e-08,0.00438075532931991,0.0245344669085107,0.000237247927777137,0.113304010891978,0.0489746385090563,NA
"chr2",68591915,68592737,823,"*",6,7.0341669821085e-08,0.00260114108646689,0.0338248211684699,5.50272068039304e-05,0.100189866286934,0.0525260831422782,"PLEK, AC015969.3"
"chr8",48743625,48744602,978,"*",7,8.48462309477318e-08,7.34137336034152e-05,0.0349990396727839,3.33867281677976e-05,-0.0775783573432853,-0.0372891301836443,"PRKDC"
"chr20",42573533,42574624,1092,"*",7,1.01737068561981e-07,0.000100598265263555,0.0349990396727839,4.37478634625576e-05,-0.108278250110166,0.0325501063283588,"TOX2"
"chr17",57915665,57918682,3018,"*",11,1.08435415510264e-07,6.56718527481799e-15,0.0339302462434587,2.5681503735237e-12,-0.1603580834505,-0.124432549203083,"VMP1, MIR21"
"chr6",33395936,33401542,5607,"*",43,1.1599094352942e-07,3.56718405634217e-07,0.0371173127089644,1.04416923663375e-07,0.0963579281174771,0.0182715211023066,"SYNGAP1"
"chr17",76128481,76130139,1659,"*",15,1.25692004634669e-07,0.0028838537008042,0.0373306978214836,0.000966043853906816,-0.0921018657962684,-0.0221066829421897,"TMC8, TMC6"
"chr1",24239771,24240069,299,"*",5,1.61940131356112e-07,4.46160050506517e-07,0.0339302462434587,4.20003272340536e-06,0.0814692203948926,0.0671476005381323,"CNR2"
"chr17",907105,909300,2196,"*",8,1.84203998411961e-07,0.0044026185269654,0.0338248211684699,0.000646932205815334,0.149848541969583,0.042429653161527,"ABR"
"chr1",2080081,2080710,630,"*",2,1.88055872194725e-07,2.29289370997384e-05,0.0312020401606509,4.7076161730865e-05,-0.157202285595429,-0.120373596752807,"PRKCZ"
"chr17",25798202,25799447,1246,"*",9,2.16857123795593e-07,2.57606219834955e-05,0.0362381157623027,4.37478634625576e-05,-0.14403129152075,-0.073578003445845,"KSR1"
"chr6",30069250,30070924,1675,"*",24,2.46055269343936e-07,0.00796425892819863,0.0381567300451631,0.000810099468621193,-0.109845080309839,-0.0210067505385822,"TRIM31"
"chr6",119669112,119669801,690,"*",5,2.89299081693291e-07,6.01849866134452e-05,0.0335965360586551,5.44716077283934e-05,0.0821777064779204,0.0460411834176332,"MAN1A1"
"chr5",139016870,139017942,1073,"*",6,3.17899047142384e-07,2.42278620361154e-07,0.0356216973719488,2.19842701694867e-06,0.0854770915458168,0.0640856355787288,NA
"chr12",29302279,29303219,941,"*",6,3.22342169347025e-07,0.000511297697958607,0.0339302462434587,0.000308083702031247,0.105423309986713,0.0487063539761809,"FAR2"
"chr1",92951594,92953279,1686,"*",24,3.32997942971784e-07,0.000444307694465387,0.0396929407557587,0.000194639549358523,0.0787183258966815,0.0273293382944484,"GFI1"
"chr3",27760732,27763266,2535,"*",11,3.76993434268841e-07,5.42210353740256e-05,0.0349990396727839,1.6280454455384e-05,0.0850802090062486,0.0305542029446244,"EOMES"
"chr15",29212889,29213860,972,"*",8,4.73395161287902e-07,5.19111162322542e-07,0.0371173127089644,7.04604488524327e-06,0.079309899713534,0.053946678981642,"APBA2"
"chr7",150651937,150653195,1259,"*",9,5.8984737705033e-07,1.61196107471496e-06,0.0373306978214836,1.42982473960189e-05,0.0560532253935492,0.0394385052896561,"KCNH2"
